,Titulo,Autor,Referencia,Texto,link
52,Menú Semanal,,,"Sopa fría de jitomate  4 porciones 20 MinutosSencillo  + 5 jitomates + 1 cucharada de jugo de limón amarillo + 1 cucharada de aceite de oliva + 1 cucharada de vinagre de manzana + 5 hojas de albahaca  PREPARACIÓN  Escalfar los jitomates (colocar en agua hirviendo por 1 minuto; pasar por agua fría, pelar y retirar las semillas). Licuar la pulpa de los jitomates con el jugo de limón, el aceite, el vinagre y la albahaca. Refrigerar y servir  Recetas de Arturo E. Navarro   Contenido Nutrimental (Por porción) Calorías: 69 Colesterol: 0mg Proteínas: 1g Carbohidratos: 8g Grasas: 4g Sodio: 13mg   BROWNIE SIN AZÚCAR 6 PORCIONES 1 HORA SENCILLO + ½ taza de estevia + 1 barra de 90 g de mantequilla + 1 cucharada de jarabe de agave + ½ taza de harina + 2 huevos + ¼ de cucharada de polvo para hornear + 3 cucharadas de cocoa + ¼ de extracto de vainilla  PREPARACIÓN Batir la mantequilla con el estevia y el jarabe de agave. Bajar la velocidad y agregar la harina, los huevos, el polvo para hornear, la cocoa y la vainilla. Verter la mezcla en un molde previamente engrasado y enharinado. Hornear a 175 °C por 35 minutos.  Contenido Nutrimental (Por porción)Calorías: 189 Colesterol: 95mg Proteínas: 4g Carbohidratos: 12g Grasas: 14g Sodio: 31mg   PECHUGA PARMESANA 6 porciones 40 MinutosSencillo  + 4 pechugas de pollo pequeñas deshuesadas + 1 pizca de ajo en polvo + Sal y pimienta + 2 tazas de espinacas picadas + ½ taza de harina + 2 huevos + 2 tazas de queso parmesano rallado  PREPARACIÓN Limpiar y abrir las pechugas de manera transversal. Sazonar con ajo, sal y pimienta. Rellenar con las espinacas. Cerrar, salpimentar por fuera y sellar a la parrilla. Rebozar el pollo con el harina, el huevo y el queso. Hornear en un recipiente previamente engrasado a 180 °C por 20 minutos.  Contenido Nutrimental (Por porción)Calorías: 610 Colesterol: 243mg Proteínas: 69g Carbohidratos: 14g Grasas: 31g Sodio: 289mg   TIP Para obtener brownies perfectos, deja enfriar y después desmolda y corta.    #detemporada Espinacas. Por ser rica en fitonutrientes, especialmente el betacaroteno y la luteína, es un vegetal con propiedades antioxidantes que te protegen del daño celular. $5 el manojo  MARIDAJE Monte Xanic Grenache  Este ejemplar rosado seco y de acidez viva con aromas a frutos rojos y cítricos irá con la sopa y el pollo.  Granizado de jamaica y fresa  Su acidez y frescura harán armonía con el toque herbáceo de la albahaca y las espinacas.         ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879568&TipoTrans=8
53,Pia Muehlenbeck: Derechita,,SPF FIT,"Pia se graduó en Leyes luego de obtener una beca en Sydney, Australia, pero más allá de ejercer como abogada es una apasionada internauta.Tiene su homepage en el que invita a suscribirse a su canal de YouTube, para compartir consejos de salud, maquillaje y ejercicios.La página también cuenta con envíos a sus sitios de Blog, Facebook, Snapchat, Twitter y contactos, entre otros.Casi alcanza la cifra de 2 millones de seguidores, con los que sostiene charlas interactivas al retarlos a que le pregunten lo que quieran, y ella elige cuál fue la mejor.   PIA MUEHLENBECK 5 de noviembre de 1991Alemania (vive en Australia) 1.70 m / 52 kModelo y cibernauta88-59-90   Instagram1,918,717 seguidores@piamuehlenbeck   ""Me encanta saber que estamos a cargo de nuestra propia apariencia, y, si tenemos el conocimiento correcto, podemos forjarlo completamente"".     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879569&TipoTrans=8
54,Alimenta Bárbara su amor,Arturo Perea,,"Bárbara del Regil está convencida de que los pequeños detalles son los que alimentan una relación de pareja.Por eso, a un mes de haberse casado con Fernando Schoenwald, no deja de sorprenderlo con gestos románticos.""Justamente hoy (el martes) cumplimos un mes de casados y le llené el cuarto de rosas, entonces es muy padre, estoy muy contenta.""Nos fuimos hace poco a Acapulco y estuvimos solos, y son cosas que están padres. Yo le organicé una cena sorpresa, luego él a mí otra, el amor se tiene que buscar todos los días"", declaró la actriz en su paso por la alfombra roja de Cosmopolitan Fashion Night.La actriz se muere de ganas de convertirse en madre por segunda ocasión, sin embargo, primero tiene que cumplir con sus compromisos laborales, entre ellos, la segunda temporada de la serie Rosario Tijeras, proyectó que empezará a filmar dentro de tres meses en la Ciudad.Antes, filmará la película Loca por el Trabajo, cinta en la que interpreta a una mujer que está obsesionada con su empleo.""Es una mujer que está loca por el trabajo y un día confunde una caja de juguetes sexuales con juguetes de niño, está muy divertida"".    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879571&TipoTrans=8
55,Le saca trapitos Sofía a Debayle,REFORMA / STAFF,,"Sofía Niño de Rivera exhibió a Martha Debayle en redes sociales por censurar una entrevista que le realizó para su programa en W Radio.La standupera realizó un Facebook live para arremeter en contra de la conductora, a quien criticó además porque fumó en la cabina donde la entrevistó a ella y a su prima Saskia, quien está embarazada. Las dos promueven la Asociación Reinserta.""Cuando llegamos al programa, Martha estaba muy enojada porque había pasado algo con el pasaporte de su hija... y nos dice: 'no vayan a tener hijos, son una pesadilla'"", contó la standupera.""Cabe mencionar que ella tiene una revista de bebés. Yo le dije: 'Ya es demasiado tarde porque Saskia, mi prima, está embarazada', se voltea y le dice '¡qué güeva, cero padre, qué güeva que vas a tener un hijo!'"".Sin importarle, Debayle sacó un cigarro y en plena cabina se puso a fumar sin preguntar a sus entrevistadas si les molestaba, según Sofía.Sofía aseguró en su video que tanto ella como su prima prefirieron no reclamar porque consideraron más importante hablar del proyecto Reinserta, que ayuda a personas que están en la cárcel, que ponerse a discutir con Debayle por su falta de respeto.""Pasaron los días y nos habla la productora del programa de Martha Debayle y nos dice que ya no van a pasar la entrevista porque yo puse un video en Facebook diciendo que alguien del radio había prendido un cigarro en su programa de radio, no dije su nombre para no armarla de pedo, pero aparentemente no sirvió.""Ellas lo vieron y aparentemente las multaron, que había gente que sí adivinó, las multaron a ellas porque obviamente es ilegal fumar en un lugar cerrado y multaron a W Radio"", subrayó Niño de Rivera.Debayle se mantuvo indiferente, excepto porque la productora de W Radio, Rebe Mangas, le escribió el tuit: ""No hay nada peor que la gente malagradecida"", a lo que la conductora retuiteó con el comentario ""cierto"".    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879572&TipoTrans=8
56,Rehúyen a la boda,Arturo Perea,,"Pese que están muy enamorados, Sebastián Rulli y Angelique Boyer coincidieron en que en su relación la palabra matrimonio sale sobrando.""La verdad yo estoy muy feliz y enamorado, no importa la situación que sea, si hay papeles o no, lo más importante es el amor"", declaró Rulli.La noche del martes, la pareja desfiló por la alfombra roja de Cosmopolitan Fashion Night, y en entrevista la actriz reveló que no ha tenido buenas experiencias en las bodas que ha protagonizado en los melodramas, y por eso le huye a tener una propia.""Tampoco es mi sueño verme vestida de blanco. Siempre he vivido esos momentos con un vestido muy complicado, siempre en un set, entonces siempre son difíciles las bodas"", expresó.En redes sociales, los actores han compartido sus aventuras juntos, como su reciente viaje a la playa.Gracias a que el histrión es un fanático de los deportes extremos, a Boyer no le ha quedado más remedio que seguirlo en todas sus aventuras.""Me encanta, la verdad es que nunca había hecho ese tipo de cosas en mi vida, así que lo estoy disfrutando muchísimo.""He conocido la profundidad (del mar), la velocidad y la neblina en la piel cuando estamos en la moto, es padrísimo todo lo que hace"", agregó la protagonista de melodramas como Tres Veces Ana y Teresa.Mientras ella se toma un respiro en su carrera, Rulli está en la preproducción de la telenovela Un Padre a Toda Madre, para la cual requirió un ligero cambio de look.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879573&TipoTrans=8
57,Emplea la Cofece tecnología del FBI,Verónica Gascón,"Recibe capacitación del Departamento de Justicia de EU. Usan técnicas para analizar datos, aplicar interrogatorios que usan en indagatorias","La Autoridad Investigadora de la Cofece, cuenta con tecnología forense del FBI y con capacitación del Departamento de Justicia de Estados Unidos, para analizar datos, aplicar interrogatorios y llevar a cabo sus indagatorias.Esta Autoridad de la Comisión Federal de Competencia Económica (Cofece), que dirige Carlos Mena, realiza visitas de verificación sorpresa a las empresas y puede copiar toda la información que se encuentra en el disco duro de una computadora para analizarla posteriormente, con el uso de la tecnología aportada por la agencia estadounidense.""Lo que nos permite hacer es recabar documentos que estén en medios electrónicos en las empresas y con ello hacer copias y esas traerlas a la Comisión y hacer la revisión de manera eficiente. Copiamos la computadora de un directivo de alguna empresa, nos traemos esa copia y analizamos sus correos, documentos que tengan que ver con la investigación y con ello determinamos si participó en alguna colusión o en algún acto ilegal"", describió Mena en entrevista.Las visitas sorpresa que realiza la Autoridad Investigadora se han multiplicado en los tres últimos años, de tal forma que en 2014, sólo se registró un par de verificaciones y en 2016 crecieron a 21.Antes, la autoridad antimonopolios estaba obligada a avisar a las empresas sobre las visitas que se tenían planeadas, lo cual daba oportunidad a que se destruyera información.La Autoridad ha duplicado su capacidad para llevar investigaciones, ya que en 2012 se tenían 11 abiertas y actualmente son 20.Mena aseguró que se pueden llevar entre 25 y 30 investigaciones de manera simultánea, dependiendo de la complejidad de los casos.En la actualidad tiene varios temas bajo análisis como el de la venta de bonos del Gobierno, la asignación de slots en el Aeropuerto Internacional de la Ciudad de México, el de medicamentos, prácticas monopólicas en espectáculos en vivo y en el mercado de estudios de laboratorio y banco de sangre, entre otros.Mena admitió que entre los casos más complejos está el del mercado de intermediación de valores de deuda emitidos por el Gobierno ya que se están investigando a siete bancos. En el expediente están asignadas 16 personas, entre investigadores y personal de apoyo. Al ser cuestionado sobre si la indagatoria incluye a la Comisión Nacional Bancaria y de Valores, respondió que se encuentra en la etapa de solicitud de información, en general.""Estamos solicitando información a los involucrados, en algún momento del procedimiento, si tienen información relevante se les requerirá"", señaló.El personal que conforma dicho departamento también se ha incrementado de tal forma que en 2012 participaban 2.8 investigadores por caso y ahora son 4.8 investigadores.   Cuestan investigaciones Los recursos ejercidos por la Autoridad Investigadora han aumentado. El número de investigadores por expediente ha subido. En asuntos más complejos, como el de la intermediación de valores de deuda, hay 16 personas. PRESUPUESTO EJERCIDO POR LA AUTORIDAD INVESTIGADORA DE LA COFECE(Millones de pesos)   INVESTIGADORES POR CASO  Fuente: Autoridad Investigadora    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879574&TipoTrans=8
58,Sancionan a bancos y a Notario Público,REFORMA / STAFF,,"La Comisión Federal de Competencia Económica (Cofece) impuso a Mexico Multifamily Fund VIII (MMF), Invex, Cibanco, HSBC y Monex multas por 365 mil pesos, a cada uno.Además, sancionó al Notario Público número 151 de la Ciudad de México con 8 millones 545 mil pesos, al acreditarse su responsabilidad por cerrar y formalizar una concentración que no tenía la aprobación de la autoridad de competencia.En abril de 2016, el Pleno de la Comisión autorizó que CIM Group Acquisitions y Compass Group Holdings adquirieran seis inmuebles de fideicomisos operados por la división fiduciaria de HSBC México.La operación se aprobó en los términos en que fue presentada.Meses después, cuando los agentes económicos intentaron acreditar que la transacción autorizada se había concretado, la Cofece se percató que la compradora era Mexico Multifamily Fund VIII, propiedad de CIM Group, aunque sociedad distinta a la autorizada por la Comisión, la cual no contaba con la respectiva aprobación para realizar dicha concentración.Es decir, MMF y CIM Group Adquisitions son sociedades distintas, aun cuando pertenecen al mismo grupo económico: CIM Group.El Notario Público número 151 de la Ciudad de México formalizó la transacción a través de seis instrumentos notariales, sin observar que MMF no era parte de los agentes autorizados por la Cofece.""La omisión de notificar una concentración cuando por Ley debe hacerse, impide a la Comisión ejercer sus funciones de prevención, que son de gran importancia para proteger de manera efectiva que no se genere concentraciones indebidas en los mercados"", dijo la Cofece en un comunicado.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879575&TipoTrans=8
59,Ofrece DocPlanner médicos en línea,Arely Sánchez,,"DocPlanner, la plataforma de búsqueda de médicos online más grande del mundo, tiene en México uno de los mercados con más rápido crecimiento, al sumar ya más de 80 mil 542 doctores sumados en el País y más de 3 millones de usuarios mensuales.El año pasado DocPlanner se fusionó con la española Doctoralia y hace unos días logró levantar más de 46 millones de euros en capital, con el que pretende fortalecer su presencia en nuestro País.""Unos 15 millones de euros serán destinados a financiar las nuevas oficinas del grupo DocPlanner que se abrirán en Brasil y México durante los próximos seis meses. En México planeamos contratar a 50 personas para nuestro equipo"", dijo Frederick Llordachs, fundador de Doctoralia.Sostuvo que el déficit de médicos especialistas en el País, así como una deficiente infraestructura hospitalaria fuera de las grandes ciudades han sido dos de los principales impulsores para el crecimiento acelerado de la plataforma.""Terminamos siendo parte del ecosistema sanitario al dar más accesibilidad a los pacientes, porque estamos al alcance de todos los que tengan una necesidad en materia de salud, desde una duda hasta una gran emergencia"", expuso.Con la fusión el año pasado entre Doctoralia y DocPlanner, el grupo ha pasado a ser el mayor marketplace de salud a nivel mundial, con presencia en 30 países y más de 325 mil citas médicas gestionadas cada mes. Entre las dos empresas, suman más de 20 millones de usuarios únicos al mes y cuentan con una base de datos de profesionales de la salud de 5 millones de especialistas, la más grande del mundo.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879576&TipoTrans=8
60,Dan Telmex y AT&amp;T mejores prestaciones,Alejandro González,,"Telmex y la norteamericana AT&amp;T encabezan en el País el ranking de las empresas de tecnología y telecomunicaciones que ofrecen mejores prestaciones a sus empleados, según la plataforma Love Mondays.Las compañías de telecomunicaciones y tecnología en México ofrecen sueldos y prestaciones atractivas para retener talentos, pues en el País hay déficit de personal calificado en dicha industria.Dave Curran, cofundador de Love Mondays, plataforma en donde empleados califican a sus empresas de forma anónima, dijo que en México hay una escasez de personal para tecnologías de la información, por lo que las compañías se ven en la necesidad de retenerlos a través de buenas prestaciones y sueldos.""Lo que estamos viendo no sólo en México sino en toda Latinoamérica es que el sector de tecnología y telecomunicaciones tiene una escasez significativa de profesionales calificados, lo que hace que los empleadores necesiten ofrecer una remuneración atractiva y paquetes de prestaciones para atraer y retener talentos"", aseveró.Por ejemplo, Telmex obtuvo una calificación promedio de 4.44 estrellas de 5 en cuanto a la satisfacción general de los empleados. El apartado de remuneración y prestaciones fue calificado por sus empleados con 4.5 estrellas.La estadounidense AT&amp;T México, que llegó al País en 2015 obtuvo una calificación general de 4.02 estrellas. El rubro en el que obtuvo una calificación mayor fue en cultura de la empresa con 4.07 estrellas.   Lideran en México A través de LoveMondays, los empleados califican de forma anónima a las empresas en donde trabajan.A: Calificación*B: Evaluaciones   *De un máximo de 5Fuente: LoveMondays     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879577&TipoTrans=8
61,Oculta IMPI datos de daños por lluvia,Alejandro González,,"El Instituto Mexicano de la Propiedad Industrial (IMPI) debe dar a conocer cuáles fueron los posibles daños que sufrió el archivo de registros debido a las fuertes lluvias del pasado 29 de mayo, afirmaron especialistas.Ayer, el IMPI reconoció que sus instalaciones se vieron afectadas de forma importante, sin embargo, no reveló si documentos o servidores sufrieron afectación y en cambio se limitó a decir que hubo daños notables.""(La sede) se encuentra ubicada en la calle de Arenal 550, Pueblo Santa María Tepepan, Delegación Xochimilco, misma que se vio notablemente afectada por las intensas lluvias acaecidas en el sur de la Ciudad de México, el 29 de mayo de 2017"", publicó en el Diario Oficial de la Federación.Gilda González, directora de la Asociación Mexicana de Productores de Fonogramas (Amprofon), señaló que el IMPI debe dar a conocer el recuento de los daños pues incluso no sólo se pudieron haber afectado documentos sino los servidores en donde tienen almacenados los expedientes electrónicos.""Sí, deben informar del cierre, rescatar los expedientes húmedos y con técnicas especiales restaurarlos, verificar los archivos digitales estén intactos, ya que en breve protección civil también revisará y puede ser que exista negligencia por falta de mantenimiento al edificio"", explicó.Jean Yves Peñalosa, especialista en propiedad industrial, dijo que en caso de que el archivo hubiese tenido daños, el IMPI debería levantar una acta administrativa ante la Secretaría de la Función Pública, además de informar sobre ello a los afectados.REFORMA consultó al IMPI para conocer el estado actual de los daños, sin embargo, no dio más información.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879578&TipoTrans=8
62,Diversificará Soriana plan de comercio electrónico,Rubén Nava,,"MONTERREY.- Para aumentar su catálogo de productos en línea, Soriana diversificará su estrategia de e-commerce, pues lanzarán un nuevo sistema de ""drop shipping"", donde la empresa recogerá artículos desde las bodegas de los proveedores y posteriormente mandarlos a los clientes.Esta nueva estrategia la empezarían a realizar a inicios del próximo mes de julio, mencionó Rafael Castelltort, director de Comercio Electrónico de Soriana, durante su participación en el SAP Forum 2017.De acuerdo con el directivo, actualmente Soriana cuenta con un centro de distribución exclusivo para los pedidos el e-commerce, pero está limitado en espacio, por lo que buscan agregar este nuevo sistema para ofrecer al mercado por lo menos 100 mil artículos en línea.""Nos vamos a conectar con Mabe, ellos le van a mandar a Hybris (sistema de e-commerce de la empresa SAP que usa Soriana) todos los días los inventarios y los productos, nosotros lo subimos a nuestra página, a la hora que lo vendamos, le vamos a mandar la orden de compra a Mabe"", ejemplificó Castelltort.""Ahí les vamos a decir que nuestra logística va a pasar a recoger ese artículo en cuanto esté listo, Mabe recibe esa orden, la acepta, la procesa y me dice 'ya está listo', luego nuestra logística recoge (el producto) en tal día y se va directo al cliente"", indicó.Según el directivo, Soriana busca aumentar su catálogo de productos en línea debido a que esta área de venta está aumentando a doble dígito ante el crecimiento de internautas en el País.""En México existen alrededor de 60 millones de internautas"", detalló el directivo.Además afirmó que aunque lancen esta nueva estrategia, la empresa seguirá usando el centro de distribución para algunos productos de su tienda en línea.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879579&TipoTrans=8
63,PuntoG,,,"RECORTAN SU MALDICIÓN La maldición de la baja audiencia le cayó a la telenovela ""Mi Adorable Maldición"". El drama que protagonizan Pablo Lyle y Renata Notni, producida por Nacho Sada, sufrirá un recorte de 100 capítulos debido a que el público no le ha favorecido con los ratings. La telenovela salió al aire a finales de enero y aún no han anunciado que vaya a terminar pronto. ¿Pues de cuántos episodios la estaban planeando?  CAE CUCARACHA A AISLINN Un mal rato tuvo Aislinn Derbez al encontrar una cucaracha en un auto rentado. Pero pronto se le pasó gracias al humor de su esposo, Mauricio Ochmann. Ambos bromearon sobre el asunto y mientras Aislinn jura que las cucarachas tenían un nido en el auto, el actor le explicaba que fue una mera casualidad.  ASÍ ES LA RUDA VIDA DE LOS PIRATAS Más cansado acabó el hijo de que la misma intérprete de Carina Smyth en ""Piratas del Caribe: La Venganza de Salazar"", durante la promoción del filme en Los Ángeles. Mientras la actriz iba de una mesa redonda a otra y ofrecía entrevistas, el bebé nacido en noviembre pasado estuvo con su padre (el actor Benjamin Walker) dando vueltas por Beverly Hills, recorriendo el lujoso hotel y echándole una mirada al trabajo de su mami. Es más, estuvo súper despierto cuando la actriz se dio un respiro en el bar. La recompensa fue para los papás, pues después de un día agotador, seguramente el bebé durmió como rey.  CRECE MARÍA CON ALEGRÍA No cabe duda que María Chacón dejó de ser la dulce niña que conocimos en la telenovela ""Alegrijes y Rebujos"", pues ahora, a sus 25 años, muestra su lado más sexy tanto en redes sociales como en las pasarelas. En su paso por una alfombra roja recientemente, la actriz lució una camiseta muy escotada y, al posar de lado, dejó ver más de la cuenta, pero ella feliz.  Twitter: @reformagentepuntog@reforma.com   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879580&TipoTrans=8
64,Elige tu escuadra,Jonathan Garavito,,"Mañana es la Final de la Champions League, disfrútala mientras degustas platillos españoles o italianos  Campo italiano  ARGENTALIA · Terreno de juego: Restaurante relajado que hace juego con su decoración en ladrillos crudos, complementados con el horno de piedra protagonista de su cocina y sus cuatro pantallas. Gante 11, Centro, de 08:00 a 00:00. Reserva: 5512-6267 · Tira a gol: Con la lasaña al horno con carne de res (125 pesos) y vino tinto de verano (65 pesos, copa).  QUATTRO · Terreno de juego: Lugar de impactante arquitectura en el que predominan los detalles en cristal. Ojo, en el interior pondrán un proyector y en la terraza tienen cuatro pantallas. Santa Fe 160, de 13:00 a 00:30. 30 pesos valet. Reserva: 9177-9727.· Tira a gol: Con el Prosciutto Burrata de jamón con queso (420 pesos) y Prosecco D.O.C. Belstar (170 pesos, copa).  INTERVALLO · Terreno de juego: Sitio íntimo ideal para ver el partido en pareja. Pide mesa al centro, pues queda cerca de la pantalla principal. Si optas por la terraza, tienen dos más. Sagredo 162, San José Insurgentes, de 13:30 a 23:00. 40 pesos valet. Reserva: 5593-6616.· Tira a gol: Con el espaguetti marinara con frutos del mar como almeja y camarón (235 pesos) y vino blanco Dragani (340 pesos, botella).   Cancha española  LA TABERNA DEL CHANCLAS · Terreno de juego: Cantina clásica española con dos pantallas ubicadas estratégicamente al centro del salón principal. En Aguascalientes 206, Condesa, de 13:30 a 23:00. 50 pesos valet. Reserva: 5264-3997.· Tira a gol: Con el surtido ibérico que incluye salchichón, chorizo y lomo (395 pesos) y vino tinto de la casa La Taberna del Chanclas (120 pesos, copa).  LA MALLORQUINA · Terreno de juego: Un sitio de abolengo con decoración en tonos sobrios, contrastante con la mantelería blanca. Ofrece una pantalla en la terraza con vista al Parque Lincoln y dos en el interior. Emilio Castelar 65, Polanco, de 13:00 a 22:00. 50 pesos valet. Reserva: 6306-3416.· Tira a gol: Con el arroz con rabo de toro (580 pesos) y vino tinto Enrique I Crianza (150 pesos, copa).  ALAIA · Terreno de juego: Un espacio contemporáneo que dotará de elegancia al encuentro. Cuenta con cuatro pantallas: dos en el salón y dos más en la terraza. Canoa 80, Tizapán San Ángel, de 13:30 a 23:30. 50 pesos valet. Reserva: 5616-6336.· Tira a gol: Con la recomendación del chef, Israel Aréchiga: tacos crujientes de pato (145 pesos) y vino blanco Matarromera (200 pesos, copa).  Velo en cine Cinemex proyectará la Final en algunos de sus complejos, como Reforma 222 (13:30, $71) y en Cinépolis, como en Perisur (13:45, $69).  JUVENTUS VS. REAL MADRID Mañana, 13:30. Por Fox Sports y ESPN    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879581&TipoTrans=8
65,Recuerdos de antaño,Jesús Serrano,,"Para volver en el tiempo al apogeo del punk pop a comienzos de siglo ve mañana a la tocada de Delux en el Lunario, por los 10 años de su segundo álbum, Entre la Guerra y el Amor.El grupo originario de Tijuana tiene preparado un set de casi 30 rolas que ejecutará a lo largo de dos horas, en su primera presentación propia en la CDMX en largo tiempo.""Sonarán todas las canciones del disco, será un show más complejo que los demás... Ha sido interesante regresar a temas que teníamos años sin tocar.""Hay rolas de Entre la Guerra y el Amor que hemos ejecutado sólo un par de veces, entre ellas 'Nunca Supiste', 'Yo Pensé' y 'Rezo'"", comentó Leo Ramírez, vocalista y guitarrista.Un buen detalle para los fans será el estreno en vivo de dos melodías inéditas, ""Sirenas"" y ""La Tres"", las cuales no se incluyeron en la edición original del álbum de 2007.El setlist contará con cortes de los tres álbumes de estudio y de sus EPs Tu Piel y Cicatrices.""Lo anterior embona bien con los nuevos discos, de hecho creo que en vivo se notará que lo más reciente suena a las dos primeras placas"", afirmó el músico.Para la velada contarán con invitados especiales, entre ellos Luis Cortés, voz y guitarra de Tolidos, y la cantautora Vanessa Zamora. Los grupos Fenix*TX y Say Ocean serán teloneros.  DELUXLunario. Paseo de la Reforma y Campo Marte s/n, Chapultepec. Mañana, 21:00. $345 a $518, en Ticketmaster    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879582&TipoTrans=8
66,Vistazo sesentero,,,"Hoy inaugura la muestra de Andy Warhol en el Museo Jumex. Visítala de 11:00 a 20:00. 30 pesos, en taquillas.           ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879583&TipoTrans=8
67,¡Irrupción teatral!,Clarisa Anell,"ESCENARIOS. Invasión Espacios Mórbidos. En 10 habitaciones, la cocina y hasta en el baño de mujeres del Hostal Regina te toparás con varios montajes","Saca tu lado voyerista y disfruta de 38 puestas en escena que se montarán en los espacios del Hostal Regina, en el Centro Histórico, a partir del miércoles 7 de junio y hasta julio.Se trata de Invasión Espacios Mórbidos, cuya oferta está dirigida al público adolescente y adulto, debido a los temas de violencia o referencias sexuales que aborda.""Los directores harán una selección de sus proyectos en cuanto a escenografía y elementos que emplean en un escenario convencional, ahí el reto. La puesta más corta que tenemos es de 25 minutos y la máxima de 90.""Todas inician al mismo tiempo, hay algunas que incluso comparten habitaciones, pero se realizan en distintos días"", comentó Gabriela Orsen, quien coordina el proyecto con Blanca Rodríguez y Laura Uribe.Además de las funciones, puedes aprovechar para hacer un tour por los murales realizados por artistas urbanos, que forman parte de la decoración del espacio. En la recepción del hostal puedes solicitar un guía para que te explique.""Es una excelente oportunidad de conocer el Centro Histórico y el hostal que abrió sus puertas para impulsar el arte"", dijo la coordinadora del proyecto.   El Amor y sus Lecciones Adaptación de la comedia de Lope de Vega titulada La Dama Boba, con una duración de 30 minutos, interpretada por los actores españoles Julia Marco, Átela Muzo, Emilio Flores y Gustavo Gonzalo, y la mexicana Assira Abbate.""Es un pequeño bocadillo amoroso que rescata momentos clave del texto original y respeta la estructura: principio, conflicto y final"", dijo Julio César Luna, director.Sábado 20:00 y 20:40; domingo 18:00 y 19:00    9 Historias de Infidelidad La tentación es el motor de este montaje compuesto por diversas narraciones de 12 a 15 minutos, protagonizadas por Fernando Villa, Gabriela Orsen y Omar Medina.""Todo sucede en un hotel para hacer referencia a los encuentros sexuales clandestinos. Tratamos el tema desde distintas versiones y posiciones, para que identifiquen desde qué lugar les ha tocado estar"", dijo el director Omar Medina.Miércoles 20:30    La Nena Obra inédita de 40 minutos creada por Luis Enrique Gutiérrez Ortiz Monasterios, que cuenta la historia de dos mujeres (Laura Castro y Evangelina Martínez) que enfrentan el alcoholismo y sus consecuencias, como la cárcel, el manicomio o la muerte.""Son personajes putrefactos de nuestra sociedad, con un resentimiento profundo; dos mujeres que se odian por esta enfermedad que enfrenta gran parte de la población mexicana"", adelantó el director Omar Olvera.Viernes 21:00 y domingo 20:30    OTRAS PUESTAS - Last Mar, de Carlos Valencia- Orégano, dirigida por Francisco Granados- Tejidos, obra en español y en Lengua de Señas Mexicana- Género sin texto, de Homero Fernández- Las Criadas, de Jean Genet- Todo por Sentir se Acaba, de Marco Antonio Treviño- Temor de Mí, de Sebastián Sánchez Amunátegui- Luz a Oscuras, de ""Querido Sergio"" Fernández   INVASIÓN ESPACIOS MÓRBIDOSHostal Regina. 5 de Febrero 53, Centro. A partir del Mi 7; Mi y Ju, 20:30; Vi y Sá, 21:00; Do 18:00 y 20:00. $150, en el hostal      ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879584&TipoTrans=8
